Meme Name,Primary Audience,Humor Style,Keywords
Pedro Pascal crying,Young Adults,Relatable,"['emotion', 'tears', 'sadness', 'despair', 'actor']"
Pedro Pascal Nick Cage,Young Adults,Witty,"['comparison', 'actors', 'surprise', 'look-alike', 'celebrities']"
Penguin pointing at shipping label,Gen Z,Relatable,"['delivery', 'excitement', 'anticipation', 'package', 'online shopping']"
Pepe holding sign,Gen Z,Sarcastic,"['protest', 'sign', 'message', 'statement', 'frog']"
Pepe Silvia,Millennials,Absurd,"['conspiracy', 'paranoia', 'confusion', 'obsession', 'theory']"
Pepe the Frog,Gamers,Absurd,"['Internet culture', 'Reaction', 'Emotions', 'Slang', 'Controversial']"
Pepperidge Farm Remembers,Millennials,Sarcastic,"['Nostalgia', 'Sarcasm', 'Irony', 'Commercial', 'Old times']"
peter griffin beats up kyle,Young Adults,Absurd,"['Violence', 'Cartoon', 'Conflict', 'Family Guy', 'Exaggeration']"
Peter Griffin running away,Young Adults,Relatable,"['Escape', 'Fear', 'Family Guy', 'Running', 'Avoidance']"
Peter Griffin skin color chart race terrorist blank,Young Adults,Sarcastic,"['Controversial', 'Race', 'Family Guy', 'Stereotypes', 'Irony']"
Peter parker reading a book,Students,Witty,"['Reading', 'Spiderman', 'Learning', 'Surprise', 'Revelation']"
Philosoraptor,Millennials,Witty,"['Philosophy', 'Question', 'Dinosaur', 'Thoughtful', 'Pondering']"
Pie Chart Meme,General Public,Sarcastic,"['Statistics', 'Visual', 'Comparison', 'Irony', 'Data']"
Pinky and the brain,Millennials,Absurd,"['Cartoon', 'Plan', 'Mice', 'World domination', 'Failure']"
Pink Guy vs Bane,Gen Z,Absurd,"['Fight', 'Filthy Frank', 'Batman', 'Comparison', 'Contrast']"
Pippin Second Breakfast,Millennials,Wholesome,"['Food', 'Hunger', 'Hobbit', 'Lord of the Rings', 'Innocence']"
Plague Doctor Gangsta s Paradise,Gen Z,Absurd,"['Historical', 'Music', 'Coolio', 'Plague doctor', 'Contrast']"
Plane flying from explosions,Young Adults,Absurd,"['Danger', 'Escape', 'Explosion', 'Thrill', 'Action']"
Please sir may I have some more,General Public,Relatable,"['Begging', 'Oliver Twist', 'Poverty', 'Hunger', 'Classic Literature']"
Pointing mirror guy,Gen Z,Relatable,"['Self-reflection', 'Blame', 'Mirror', 'Accusation', 'Self-awareness']"
Poke with stick,Gen Z,Absurd,"['Provoke', 'Stick', 'Lazy', 'Action', 'Apathy']"
Por que tan elegante homero,Young Adults,Witty,"['Elegance', 'The Simpsons', 'Special occasion', 'Spanish', 'Dressing up']"
Predator Handshake,Millennials,Witty,"['Agreement', 'Strength', 'Action movie', 'Arnold Schwarzenegger', 'Unity']"
Pretending To Be Happy  Hiding Crying Behind A Mask,Young Adults,Relatable,"['Sadness', 'Mask', 'Deception', 'Emotions', 'Pretend']"
Priest tempted by girl,Adults,Sarcastic,"['Temptation', 'Religion', 'Controversial', 'Clergy', 'Sin']"
problems stress pain,General Public,Relatable,"['stress', 'overwhelm', 'difficulties', 'struggle', 'anxiety']"
Professor Farnsworth Good News Everyone,Millennials,Sarcastic,"['news', 'announcement', 'irony', 'surprise', 'Futurama']"
Protected Kevin Hart,Young Adults,Witty,"['protection', 'care', 'safety', 'celebrity', 'overprotection']"
Prove me wrong,Students,Sarcastic,"['debate', 'argument', 'challenge', 'opinion', 'dispute']"
PTSD Chihuahua,Gen Z,Absurd,"['shock', 'trauma', 'surprise', 'dog', 'fear']"
Puppet hierarchy,Professionals,Sarcastic,"['hierarchy', 'control', 'manipulation', 'power', 'domination']"
puppet Monkey looking away,Gen Z,Relatable,"['avoidance', 'denial', 'ignorance', 'awkward', 'uncomfortable']"
Put It Somewhere Else Patrick,Millennials,Absurd,"['solution', 'problem', 'avoidance', 'SpongeBob', 'silly']"
Rage Table Smash,Gamers,Relatable,"['rage', 'anger', 'frustration', 'outburst', 'violent']"
Rainbow Six Fuze The Hostage,Gamers,Sarcastic,"['video game', 'tactical', 'mistake', 'blunder', 'Rainbow Six Siege']"
ralph wiggum,Millennials,Absurd,"['innocence', 'simplicity', 'childlike', 'Simpsons', 'naivety']"
Reaction Guys,Gen Z,Relatable,"['reaction', 'excitement', 'surprise', 'joy', 'shock']"
Really Right in front of my pancit,Young Adults,Sarcastic,"['disbelief', 'surprise', 'inconvenience', 'interruption', 'food']"
Real Shit,Young Adults,Relatable,"['truth', 'honesty', 'realization', 'acknowledgement', 'serious']"
Red Button Hand,General Public,Relatable,"['decision', 'choice', 'dilemma', 'pressure', 'consequence']"
Red pill blue pill,Millennials,Witty,"['choice', 'reality', 'illusion', 'Matrix', 'philosophy']"
Relief,General Public,Wholesome,"['comfort', 'ease', 'relaxation', 'peace', 'calm']"
Rick and Carl,Young Adults,Sarcastic,"['father-son', 'joke', 'Walking Dead', 'conversation', 'annoyance']"
rick and morty extra steps,Millennials,Absurd,"['complication', 'effort', 'Rick and Morty', 'unnecessary', 'complexity']"
Riley Reid meme,Young Adults,Cringe,"['awkward', 'uncomfortable', 'celebrity', 'misunderstanding', 'embarrassment']"
Robert Downey Jr s Comments,General Public,Sarcastic,"['ironic', 'celebrity', 'reaction', 'comment', 'expression']"
Roblox Ban,Gamers,Absurd,"['ban', 'online gaming', 'punishment', 'restriction', 'rules']"
Robotnik Button,Gamers,Witty,"['choice', 'dilemma', 'video game', 'conflict', 'decision']"
Robotnik Pressing Red Button,Gamers,Relatable,"['choice', 'action', 'consequence', 'video game', 'decision']"
Roll Safe Think About It,Young Adults,Sarcastic,"['advice', 'wisdom', 'irony', 'thinking', 'logic']"
Ron Swanson trash computer,Millennials,Witty,"['frustration', 'technology', 'disgust', 'TV show', 'reaction']"
Running Away Balloon,Gen Z,Absurd,"['escape', 'chase', 'surreal', 'balloon', 'running']"
Run,General Public,Absurd,"['panic', 'escape', 'fear', 'urgency', 'action']"
Sad guy Happy guy bus,Students,Relatable,"['contrast', 'emotion', 'comparison', 'sadness', 'happiness']"
Sad Hamster,Gen Z,Wholesome,"['emotion', 'cute', 'sadness', 'animal', 'sympathy']"
Sad Pablo Escobar,Young Adults,Relatable,"['loneliness', 'TV show', 'boredom', 'sadness', 'waiting']"
sad thumbs up cat,Gen Z,Wholesome,"['approval', 'sadness', 'animal', 'emotion', 'irony']"
salt bae,Millennials,Witty,"['chef', 'cooking', 'style', 'flamboyant', 'sprinkle']"
Samuel L Jackson say one more time,General Public,Sarcastic,"['anger', 'repetition', 'movie', 'threat', 'reaction']"
Sarcastic spongebob,Gen Z,Sarcastic,"['mockery', 'cartoon', 'irony', 'mimicry', 'ridicule']"
Satisfied Seal,General Public,Wholesome,"['contentment', 'animal', 'happiness', 'relief', 'satisfaction']"
Say it Again  Dexter,Millennials,Witty,"['repetition', 'cartoon', 'curiosity', 'demand', 'request']"
Say That Again I Dare You,General Public,Sarcastic,"['threat', 'anger', 'movie', 'challenge', 'reaction']"
say the line bart  simpsons,Millennials,Relatable,"['catchphrase', 'cartoon', 'repetition', 'demand', 'familiarity']"
Say what again,General Public,Sarcastic,"['confusion', 'question', 'movie', 'misunderstanding', 'repetition']"
Scared Cat,General Public,Relatable,"['fear', 'surprise', 'reaction', 'animals', 'expressive']"
Scooby doo mask reveal,Millennials,Sarcastic,"['reveal', 'truth', 'disguise', 'cartoon', 'mystery']"
screaming seagull,Gen Z,Absurd,"['loud', 'reaction', 'birds', 'anger', 'overreaction']"
Scumbag Steve,Young Adults,Sarcastic,"['disrespect', 'rudeness', 'irritation', 'annoyance', 'selfishness']"
Second Breakfast,Millennials,Witty,"['food', 'hunger', 'fantasy', 'indulgence', 'meal']"
See Nobody Cares,Professionals,Sarcastic,"['indifference', 'dismissal', 'irrelevance', 'unimpressed', 'apathy']"
Seinfeld Newman,Millennials,Relatable,"['annoyance', 'frustration', 'rivalry', 'sitcom', 'dislike']"
Severance Outie Affirmation,Professionals,Wholesome,"['affirmation', 'positivity', 'work', 'encouragement', 'inspiration']"
Show me on this doll,General Public,Sarcastic,"['explanation', 'demonstration', 'mockery', 'interrogation', 'humiliation']"
Shrek Cat,Gen Z,Wholesome,"['cute', 'innocence', 'animals', 'fantasy', 'manipulation']"
Shrek For Five Minutes,Millennials,Relatable,"['rest', 'break', 'exhaustion', 'relief', 'tired']"
shrek rizz,Millennials,Absurd,"['distortion', 'weird', 'confusion', 'bizarre', 'fantasy']"
Shrek running,Gen Z,Relatable,"['escape', 'hurry', 'action', 'panic', 'rush']"
Shut Up And Take My Money Fry,Young Adults,Witty,"['desire', 'excitement', 'impulse', 'purchase', 'enthusiasm']"
side eye teddy,Gen Z,Sarcastic,"['distrust', 'suspicion', 'judgment', 'toys', 'skepticism']"
Silence Crab,Gen Z,Absurd,"['silence', 'command', 'control', 'sea creatures', 'dominance']"
Silence X  a Y is talking,Young Adults,Witty,"['silence', 'dominance', 'priority', 'respect', 'authority']"
Simpsons bart no,Millennials,Relatable,"['refusal', 'rejection', 'disagreement', 'cartoon', 'defiance']"
Simpsons Monkey Fight,Millennials,Absurd,"['conflict', 'chaos', 'fight', 'cartoon', 'disorder']"
Simpsons so far,Millennials,Sarcastic,"['progress', 'journey', 'distance', 'exaggeration', 'effort']"
Skeletor until we meet again,Millennials,Sarcastic,"['goodbye', 'parting', 'villain', 'cartoon', 'dramatic']"
Skinner Out Of Touch,Millennials,Relatable,"['misunderstanding', 'generation gap', 'school', 'ignorance', 'denial']"
skinner pathetic,Millennials,Sarcastic,"['disappointment', 'judgment', 'cartoon', 'failure', 'condescension']"
slap that button,General Public,Relatable,"['excitement', 'action', 'decision', 'agreement', 'instant']"
Sleeping Shaq,Gen Z,Relatable,"['indifference', 'unfazed', 'sports', 'celebrity', 'uninterested']"
sleeping Squidward,Gen Z,Wholesome,"['rest', 'peace', 'cartoon', 'relaxation', 'ignorance']"
sleepy donald duck in bed,Gen Z,Wholesome,"['tired', 'morning', 'cartoon', 'reluctance', 'bedtime']"
Slowpoke,Gamers,Sarcastic,"['late', 'pokemon', 'delay', 'ignorance', 'slow']"
small brain yelling at big brain,Gen Z,Absurd,"['argument', 'intelligence', 'dispute', 'knowledge', 'comparison']"
Small knight giant knight,Gamers,Witty,"['battle', 'size', 'challenge', 'underdog', 'fantasy']"
Smart Guy,Gen Z,Witty,"['intelligence', 'smug', 'confidence', 'cartoon', 'sarcasm']"
Smudge the cat,General Public,Relatable,"['disgust', 'cat', 'judgment', 'food', 'annoyance']"
society if,Young Adults,Absurd,"['hypothetical', 'progress', 'change', 'improvement', 'social commentary']"
Soldiers hold up society,Young Adults,Sarcastic,"['support', 'sacrifice', 'military', 'society', 'appreciation']"
Somehow Palpatine returned,Millennials,Absurd,"['surprise', 'return', 'Star Wars', 'resurrection', 'disbelief']"
Sonic Says,Gamers,Witty,"['advice', 'cartoon', 'message', 'Sonic', 'announcement']"
soup nazi,Millennials,Sarcastic,"['refusal', 'strict', 'food', 'Seinfeld', 'authority']"
South Park JIzz,Young Adults,Cringe,"['disgust', 'shock', 'South Park', 'reaction', 'surprise']"
South Park Underpants Gnomes,Millennials,Absurd,"['plan', 'confusion', 'South Park', 'business', 'mystery']"
Soyboy Vs Yes Chad,Young Adults,Sarcastic,"['comparison', 'masculinity', 'stereotype', 'contrast', 'internet culture']"
Soyjak Pointing,Gen Z,Sarcastic,"['Internet culture', 'Reaction', 'Mockery', 'Expressive', 'Disgust', 'Criticism', 'Pointing']"
Sparta Leonidas,Young Adults,Witty,"['Historical', 'Dramatic', 'Angry', 'Shouting', 'Defiance', 'Movie reference']"
Spiderman Glasses,Gen Z,Relatable,"['Surprise', 'Realization', 'Clarity', 'Transformation', 'Movie reference']"
Spider Man Double,Young Adults,Sarcastic,"['Confusion', 'Doppelganger', 'Accusation', 'Surprise', 'Movie reference']"
Spongebob box,Millennials,Absurd,"['Imagination', 'Creativity', 'Innocence', 'Fun', 'Cartoon reference']"
spongebob fire,Millennials,Sarcastic,"['Panic', 'Chaos', 'Disorder', 'Stress', 'Cartoon reference']"
Spongebob Ight Imma Head Out,Gen Z,Relatable,"['Leaving', 'Disinterest', 'Boredom', 'Avoidance', 'Cartoon reference']"
Spongebob looking out window,Gen Z,Wholesome,"['Longing', 'Patience', 'Waiting', 'Observation', 'Cartoon reference']"
spongebob panic inside,Millennials,Relatable,"['Anxiety', 'Stress', 'Overwhelmed', 'Internal struggle', 'Cartoon reference']"
spongebob rainbow,Millennials,Absurd,"['Optimism', 'Sarcasm', 'Magic', 'Irony', 'Cartoon reference']"
Spongebob Searching,Gen Z,Relatable,"['Searching', 'Confusion', 'Lost', 'Investigation', 'Cartoon reference']"
spongebob stupid,Millennials,Sarcastic,"['Mockery', 'Ignorance', 'Silly', 'Criticism', 'Cartoon reference']"
Spongebob time card background,Millennials,Relatable,"['Time', 'Progress', 'Waiting', 'Narration', 'Cartoon reference']"
Spongebob Yelling,Gen Z,Absurd,"['Outrage', 'Shouting', 'Exclamation', 'Drama', 'Cartoon reference']"
Spongegar,Gen Z,Absurd,"['Primitive', 'Surprise', 'Fear', 'Wild', 'Cartoon reference']"
Squidward,Millennials,Sarcastic,"['Apathy', 'Boredom', 'Unimpressed', 'Sarcasm', 'Cartoon reference']"
Squidward chair,Millennials,Relatable,"['Relaxation', 'Indifference', 'Laziness', 'Comfort', 'Cartoon reference']"
Squidward competition,Millennials,Witty,"['Competition', 'Jealousy', 'Rivalry', 'Comparison', 'Cartoon reference']"
Squidward pointing,Millennials,Sarcastic,"['Accusation', 'Blame', 'Criticism', 'Pointing', 'Cartoon reference']"
Squidward window,Millennials,Relatable,"['Observation', 'Judgment', 'Curiosity', 'Peeping', 'Cartoon reference']"
Squid Game,Young Adults,Absurd,"['Korean', 'Dystopian', 'Game', 'Survival', 'Death', 'Competition', 'Green light, red light']"
Squid Game Season 1 vs Season 2,Young Adults,Relatable,"['Expectation', 'Reality', 'Comparison', 'Disappointment', 'Sequel', 'Television', 'Series']"
Star Wars No,General Public,Sarcastic,"['Denial', 'Shock', 'Disbelief', 'Darth Vader', 'Science Fiction', 'Rejection']"
Star Wars Yoda,General Public,Witty,"['Wisdom', 'Advice', 'Jedi', 'Green', 'Alien', 'Yoda speak', 'Science Fiction']"
Steamboat Willie,General Public,Wholesome,"['Vintage', 'Disney', 'Mickey Mouse', 'Boat', 'Cartoon', 'Black and White']"
Steve Buscemi Fellow Kids,Millennials,Cringe,"['Awkward', 'Trying to fit in', 'Out of touch', 'Old', 'Youth culture', 'Disguise']"
stonks,Millennials,Absurd,"['Stocks', 'Investment', 'Finance', 'Profit', 'Economy', 'Market', 'Growth']"
Stop giving me your toughest battles,Gen Z,Relatable,"['Struggle', 'Hardship', 'Challenge', 'Exhaustion', 'God', 'Faith', 'Overwhelmed']"
Stop He s Already Dead,General Public,Sarcastic,"['Overkill', 'Excessive', 'Beating', 'Defeat', 'Victory', 'Mercy', 'Simpsons']"
Stop Trying to Make Fetch Happen,Millennials,Sarcastic,"['Rejection', 'Mean Girls', 'Slang', 'Uncool', 'Trend', 'Desperate']"
Straight Outta X blank template,General Public,Witty,"['Origin', 'Hometown', 'Proud', 'Identity', 'Customizable', 'Music', 'Culture']"
Straight to Jail,General Public,Sarcastic,"['Punishment', 'Crime', 'Justice', 'Law', 'Offense', 'Immediate', 'Penalty']"
Strong dog vs weak dog,General Public,Relatable,"['Comparison', 'Strength', 'Weakness', 'Dogs', 'Contrast', 'Dominance', 'Submissive']"
Stupid dumb drooling puzzle,Gen Z,Absurd,"['Confusion', 'Stupidity', 'Puzzle', 'Challenge', 'Difficulty', 'Frustration', 'Drooling']"
Success Kid,General Public,Wholesome,"['Victory', 'Achievement', 'Child', 'Sand', 'Fist', 'Triumph', 'Joy']"
Success Kid Original,General Public,Wholesome,"['Victory', 'Achievement', 'Child', 'Sand', 'Fist', 'Triumph', 'Joy']"
Sun Tzu,Professionals,Witty,"['Strategy', 'Warfare', 'Philosophy', 'Ancient', 'Chinese', 'Wisdom', 'Art of War']"
Superior Royalty,General Public,Sarcastic,"['Superiority', 'Royalty', 'Pride', 'Arrogance', 'Monarchy', 'Class', 'Hierarchy']"
Sure grandma,Gen Z,Sarcastic,"['Doubt', 'Elderly', 'Disbelief', 'Patronizing', 'Old fashioned', 'Outdated', 'Dismissive']"
Sure grandma let s get you to bed,Gen Z,Sarcastic,"['Doubt', 'Elderly', 'Disbelief', 'Patronizing', 'Old fashioned', 'Outdated', 'Dismissive']"
Surprised Joey,Millennials,Relatable,"['surprise', 'shock', 'Friends TV show', 'unexpected', 'reaction']"
Surprised Koala,Gen Z,Absurd,"['surprise', 'animals', 'koala', 'reaction', 'funny']"
Surprised Pikachu,Gamers,Relatable,"['surprise', 'shock', 'Pokemon', 'reaction', 'unexpected']"
Surprised Pikachu High Quality,Gamers,Relatable,"['surprise', 'shock', 'Pokemon', 'high quality', 'reaction']"
Surprise anime guy,Gen Z,Absurd,"['surprise', 'anime', 'reaction', 'unexpected', 'funny']"
Suspicious Dog,General Public,Witty,"['suspicion', 'dog', 'animals', 'doubt', 'funny']"
sweating bullets,Young Adults,Relatable,"['stress', 'anxiety', 'pressure', 'nervous', 'reaction']"
Sweating Jordan Peele,Millennials,Relatable,"['stress', 'anxiety', 'pressure', 'nervous', 'celebrity']"
Sweaty Speedrunner,Gamers,Relatable,"['stress', 'gaming', 'pressure', 'nervous', 'fast']"
Swerving Car,Young Adults,Sarcastic,"['decision', 'car', 'swerve', 'choice', 'unexpected']"
Symphony Meme,General Public,Witty,"['music', 'symphony', 'orchestra', 'performance', 'funny']"
Szia uram uncropped,General Public,Absurd,"['foreign', 'language', 'funny', 'absurd', 'unexpected']"
talking to wall,Young Adults,Sarcastic,"['frustration', 'ignored', 'communication', 'wall', 'funny']"
Teacher's Copy,Students,Relatable,"['school', 'teacher', 'copy', 'funny', 'education']"
telltale will remember that,Gamers,Witty,"['gaming', 'choice', 'consequence', 'Telltale Games', 'decision']"
Tell me the truth I'm ready to hear it,Millennials,Sarcastic,"['truth', 'honesty', 'confrontation', 'reaction', 'funny']"
Thank you for saving my life,General Public,Wholesome,"['gratitude', 'life-saving', 'appreciation', 'kindness', 'funny']"
Thanos Infinity Stones,Young Adults,Witty,"['Marvel', 'Thanos', 'Infinity Stones', 'power', 'superheroes']"
thanos what did it cost,Young Adults,Sarcastic,"['Marvel', 'Thanos', 'sacrifice', 'cost', 'superheroes']"
That's a paddlin',Millennials,Witty,"['punishment', 'Simpsons', 'consequence', 'funny', 'old-fashioned']"
That s how you do it,General Public,Witty,"['instruction', 'sarcasm', 'expertise', 'mockery', 'achievement']"
That s my secret,Young Adults,Sarcastic,"['secret', 'surprise', 'hidden knowledge', 'revelation', 'irony']"
That s the neat part  you don t,Gen Z,Absurd,"['avoidance', 'denial', 'evasion', 'absurdity', 'non-compliance']"
There is no war in ba sing se,Millennials,Witty,"['denial', 'fantasy', 'delusion', 'ignorance', 'propaganda']"
These Aren t The Droids You Were Looking For,General Public,Sarcastic,"['misdirection', 'trickery', 'deception', 'confusion', 'mistake']"
They don t even have dental,Professionals,Relatable,"['job perks', 'employment', 'benefits', 'complaints', 'workplace']"
They don t know,Students,Relatable,"['secrets', 'misunderstanding', 'ignorance', 'knowledge', 'privacy']"
The Cooler Daniel,Gen Z,Cringe,"['comparison', 'superiority', 'coolness', 'rivalry', 'mockery']"
The future world if,Young Adults,Absurd,"['hypothetical', 'future', 'imagination', 'absurdity', 'paradise']"
The Most Interesting Man In The World,Millennials,Sarcastic,"['exaggeration', 'praise', 'sarcasm', 'irony', 'persona']"
the office bankruptcy,Young Adults,Witty,"['financial struggle', 'misunderstanding', 'workplace', 'ignorance', 'business']"
the office handshake,Professionals,Relatable,"['agreement', 'partnership', 'collaboration', 'workplace', 'professional']"
the silent protector,General Public,Wholesome,"['protection', 'hero', 'sacrifice', 'guardian', 'selflessness']"
The Simpsons Ralph Wiggum Picking His Nose,Millennials,Cringe,"['naivety', 'childish', 'awkward', 'simpsons', 'gross']"
Thinking Black Guy,Gen Z,Relatable,"['thinking', 'pondering', 'confusion', 'decision', 'dilemma']"
"Think Mark, Think",Young Adults,Sarcastic,"['pressure', 'decision making', 'intensity', 'argument', 'conflict']"
Third World Skeptical Kid,General Public,Witty,"['skepticism', 'doubt', 'questioning', 'cynicism', 'misbelief']"
This Is Brilliant But I Like This,Students,Sarcastic,"['comparison', 'preference', 'irony', 'choice', 'opinion']"
This Is Fine,Young Adults,Absurd,"['denial', 'chaos', 'calm', 'disaster', 'irony']"
This is Fine  Blank,General Public,Absurd,"['blank', 'customize', 'chaos', 'calm', 'disaster']"
This is sparta,General Public,Absurd,"['Aggression', 'Determination', 'Warrior', 'Movie Quote', 'Exaggeration']"
This Is Where I'd Put My Trophy If I Had One,Young Adults,Sarcastic,"['Disappointment', 'Failure', 'Irony', 'Lack', 'Empty']"
This is Worthless,Students,Relatable,"['Disapproval', 'Valueless', 'Critique', 'Dismissive', 'Insignificance']"
Those who know,Millennials,Witty,"['Knowledge', 'Secret', 'Understanding', 'Insider', 'Exclusive']"
Thousand Yard Stare,General Public,Absurd,"['Shock', 'Trauma', 'Disbelief', 'Stunned', 'Distant']"
Three dragons,Gamers,Absurd,"['Fantasy', 'Power', 'Threat', 'Epic', 'Dominance']"
Three headed Dragon,Gamers,Absurd,"['Fantasy', 'Threat', 'Multi-tasking', 'Chaos', 'Danger']"
throw out of the window,Young Adults,Sarcastic,"['Rejection', 'Disapproval', 'Dismissal', 'Frustration', 'Elimination']"
Tintin and Haddock,General Public,Wholesome,"['Adventure', 'Friendship', 'Travel', 'Comic', 'Mystery']"
Tom chasing Harry and Ron Weasly,Gen Z,Absurd,"['Chase', 'Threat', 'Cartoon', 'Mashup', 'Fantasy']"
Tom   Jerry Searching,General Public,Relatable,"['Search', 'Pursuit', 'Investigation', 'Curiosity', 'Cartoon']"
Tony Soprano in this house,Young Adults,Sarcastic,"['Authority', 'Domestic', 'Rules', 'TV Show', 'Command']"
Too Damn High,Millennials,Relatable,"['Excessive', 'Complaint', 'Frustration', 'Overwhelm', 'Exaggeration']"
Tornado Guy,General Public,Absurd,"['Disaster', 'Calm', 'Unfazed', 'Danger', 'Contrast']"
TOYSTORY EVERYWHERE,Millennials,Relatable,"['Ubiquity', 'Overwhelm', 'Saturation', 'Movie Reference', 'Excessive']"
Trade Offer,Professionals,Witty,"['Negotiation', 'Exchange', 'Deal', 'Proposal', 'Bargain']"
Trade offer meme Animated gif,Professionals,Witty,"['Negotiation', 'Exchange', 'Deal', 'Animated', 'Proposal']"
train crashes bus,General Public,Absurd,"['Disaster', 'Unexpected', 'Collision', 'Danger', 'Shock']"
Traumatized Mr. Incredible,Parents,Relatable,"['Shock', 'Surprise', 'Disbelief', 'Cartoon', 'Family']"
Travis Kelce screaming,Sports Fans,Absurd,"['Outburst', 'Frustration', 'Intensity', 'Sports', 'Emotion']"
Travolta,Millennials,Absurd,"['confusion', 'surprise', 'pop culture', 'awkwardness', 'bewilderment']"
triggerpaul,Gen Z,Cringe,"['reaction', 'disgust', 'internet culture', 'shock', 'disbelief']"
Trojan Horse,Professionals,Witty,"['strategy', 'deception', 'history', 'surprise', 'intrigue']"
Trolley Problem,Students,Sarcastic,"['dilemma', 'ethics', 'decision', 'philosophy', 'morality']"
Trumpet Boy,Gen Z,Absurd,"['music', 'annoyance', 'attention', 'persistence', 'youth']"
Trump Bill Signing,Professionals,Sarcastic,"['politics', 'achievement', 'pride', 'authority', 'legislation']"
Trump Executive Order 2025,Young Adults,Sarcastic,"['politics', 'power', 'future', 'prediction', 'satire']"
Trump  Vance  and Zelensky,Professionals,Witty,"['politics', 'conversation', 'awkwardness', 'diplomacy', 'tension']"
Tuxedo Winnie The Pooh,Millennials,Relatable,"['sophistication', 'comparison', 'class', 'elegance', 'irony']"
Tuxedo Winnie the Pooh grossed reverse,Gen Z,Absurd,"['disgust', 'comparison', 'unexpected', 'irony', 'reversal']"
Twilight Aro,Millennials,Cringe,"['reaction', 'surprise', 'pop culture', 'drama', 'exaggeration']"
Two Buttons,General Public,Relatable,"['decision', 'dilemma', 'conflict', 'stress', 'choice']"
two castles,Gamers,Witty,"['strategy', 'competition', 'challenge', 'rivalry', 'gameplay']"
Two guys on a bus,Young Adults,Wholesome,"['friendship', 'unexpected', 'kindness', 'generosity', 'public transport']"
Two Paths,Students,Relatable,"['decision', 'life choices', 'dilemma', 'future', 'direction']"
Types of Headaches meme,General Public,Relatable,"['frustration', 'pain', 'annoyance', 'stress', 'health']"
Typing kitty,General Public,Wholesome,"['animals', 'work', 'cute', 'effort', 'humor']"
Tyrone Biggums The Addict,Millennials,Cringe,"['addiction', 'comedy', 'exaggeration', 'pop culture', 'desperation']"
umbrella academy meme,Gen Z,Sarcastic,"['superpowers', 'family drama', 'tv show', 'conflict', 'sibling rivalry']"
Uncanny Pingu,Gen Z,Absurd,"['weird', 'animation', 'childhood', 'distortion', 'surreal']"
Uncle Sam,General Public,Sarcastic,"['patriotism', 'recruitment', 'American', 'war', 'demand', 'authority']"
undertaker,Gamers,Absurd,"['wrestling', 'surprise', 'fear', 'intimidation', 'horror']"
Undertaker teleports behind AJ Styles,Gamers,Absurd,"['teleportation', 'wrestling', 'surprise', 'intimidation', 'horror']"
UNO Draw 25 Cards,General Public,Relatable,"['cards', 'game', 'challenge', 'choice', 'difficulty']"
Unsettled Tom,Gen Z,Relatable,"['shock', 'surprise', 'cartoon', 'discomfort', 'reaction']"
Unsheathing Sword,Gamers,Absurd,"['sword', 'battle', 'preparation', 'challenge', 'action']"
Urinal Guy,Young Adults,Cringe,"['awkwardness', 'privacy', 'bathroom', 'social norm', 'uncomfortable']"
Vanya and Five,Young Adults,Witty,"['siblings', 'superpowers', 'argument', 'disagreement', 'conflict']"
Vegeta over 9000,Gamers,Absurd,"['anime', 'power level', 'exaggeration', 'surprise', 'disbelief']"
Vince McMahon Crying,Young Adults,Relatable,"['wrestling', 'emotion', 'crying', 'sadness', 'reaction']"
Virgin and Chad,Young Adults,Sarcastic,"['comparison', 'stereotypes', 'confidence', 'awkwardness', 'social norms']"
Waiting Skeleton,General Public,Sarcastic,"['waiting', 'patience', 'time', 'skeleton', 'delay']"
Wait  its all,Gen Z,Absurd,"['discovery', 'realization', 'shock', 'surprise', 'universe']"
Walter White Breaks Down,Young Adults,Relatable,"['breaking bad', 'emotion', 'crying', 'sadness', 'despair']"
walter white cooking,Young Adults,Sarcastic,"['breaking bad', 'cooking', 'meth', 'chemistry', 'illegal']"
Walter White Screaming At Hank,Young Adults,Relatable,"['breaking bad', 'anger', 'shouting', 'confrontation', 'conflict']"
wanted poster,General Public,Witty,"['crime', 'search', 'reward', 'outlaw', 'poster']"
Water Dam Meme,Millennials,Sarcastic,"['problem', 'solution', 'failure', 'disaster', 'temporary']"
Weak vs Strong Spongebob,Gen Z,Relatable,"['strength', 'weakness', 'comparison', 'transformation', 'improvement']"
Welcome To The Internets,General Public,Witty,"['internet', 'welcome', 'introduction', 'technology', 'sarcasm']"
We are not the same,Young Adults,Sarcastic,"['superiority', 'difference', 'comparison', 'individuality', 'self-esteem']"
We Have A Hulk,Gamers,Witty,"['superheroes', 'power', 'advantage', 'conflict', 'surprise']"
Whatcha Got There,General Public,Relatable,"['curiosity', 'suspicion', 'discovery', 'secrets', 'intrigue']"
What did it cost,Millennials,Sarcastic,"['sacrifice', 'loss', 'consequence', 'trade-off', 'questioning']"
What Gives People Feelings of Power,General Public,Relatable,"['power', 'satisfaction', 'accomplishment', 'pride', 'fulfillment']"
What if i told you,Millennials,Witty,"['revelation', 'secret', 'knowledge', 'surprise', 'truth']"
What s on your mind,General Public,Wholesome,"['thoughts', 'sharing', 'communication', 'empathy', 'listening']"
where monkey,Gen Z,Absurd,"['confusion', 'search', 'animal', 'humor', 'random']"
